,cluster_0,cluster_1,cluster_8,cluster_17,cluster_7,cluster_4,cluster_6,cluster_3,cluster_11,cluster_14,cluster_2,cluster_13,cluster_9,cluster_15,cluster_10,cluster_12,cluster_16,cluster_5
number_of_addresses,141,68,62,57,55,46,46,43,43,42,41,39,39,38,34,32,32,30
eth_balance,3,0,1,11,-1,-24,-1,-1,10,0,6,3,20,-86,-4,18,0,-24
eth_sent,3870,3670,3928,3378,3428,4438,3096,3940,3126,3032,3942,2999,3003,3716,3744,3267,4613,4291
eth_received,3873,3670,3929,3390,3426,4414,3094,3939,3137,3031,3949,3003,3024,3630,3740,3286,4613,4267
number_of_tx_received,210,133,102,1,180,185,112,158,104,159,152,58,138,3,92,85,639,121
number_of_tx_sent,215,161,120,16,147,458,104,295,143,105,345,72,165,3,138,127,404,333
mined_blocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active_months,7,7,5,1,6,7,6,7,4,2,7,3,5,2,4,3,1,7
usd_received,776768,770014,799149,663796,720774,908828,618446,828848,609856,613801,828842,624137,578142,754229,737536,640641,865009,894043
usd_sent,775610,769643,796910,664407,720707,914815,617044,826737,606906,615404,816195,621258,575867,775687,737874,636184,864897,898289
avg_usd_sent,5400,7130,13815,84154,6819,5264,10816,8024,10352,11011,6076,16643,5403,286670,11946,15808,2150,5740
avg_usd_received,5320,8734,14783,663796,6081,10627,11063,12325,9560,8350,10614,15381,6122,291671,12620,19020,1366,12520
monthly_usd_sent,110801,109949,159382,664407,120118,130688,102841,118105,151726,307702,116599,207086,115173,387844,184469,212061,864897,128327
monthly_usd_received,110967,110002,159830,663796,120129,129833,103074,118407,152464,306900,118406,208046,115628,377114,184384,213547,865009,127720
monthly_outgoing_txns,31,23,24,16,25,65,17,42,36,53,49,24,33,1,35,42,404,48
monthly_incoming_txns,30,19,20,1,30,26,19,23,26,80,22,19,28,1,23,28,639,17
number_of_contracts_created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_tx,7,70,25,0,6,329,25,172,4,35,213,3,0,1,47,40,0,277
diff_token_used,0,1,1,0,0,4,1,3,0,0,2,0,0,0,1,1,0,5
avg_eth_sent,27,34,67,441,33,25,53,37,54,55,30,81,28,1402,59,83,11,27
avg_eth_received,26,41,70,3390,29,51,55,59,49,43,50,75,32,1420,63,100,7,59
monthly_eth_sent,552,524,785,3378,571,634,516,562,781,1516,563,999,600,1858,936,1089,4613,613
monthly_eth_received,553,524,785,3390,571,630,515,562,784,1515,564,1001,604,1815,935,1095,4613,609
